country_name,country_iso3,country_code,long_name,income_group,lending_category,region,currency_unit
Uganda,UGA,800,Republic of Uganda,Low income,IDA,Sub-Saharan Africa,Ugandan shilling
Ukraine,UKR,804,Ukraine,Lower middle income,IBRD,Europe & Central Asia,Ukrainian hryvnia
United Arab Emirates,ARE,784,United Arab Emirates,High income,NULL,Middle East & North Africa,U.A.E. dirham
United Kingdom,GBR,826,United Kingdom of Great Britain and Northern Ireland,High income,NULL,Europe & Central Asia,Pound sterling
United States,USA,840,United States of America,High income,NULL,North America,U.S. dollar
United States Minor Outlying I,UMI,581,NULL,Others,NULL,NULL,NULL
Unspecified,UNS,898,NULL,Others,NULL,NULL,NULL
Uruguay,URY,858,Oriental Republic of Uruguay,High income,IBRD,Latin America & Caribbean,Uruguayan peso
Us Msc.Pac.I,USP,849,NULL,Others,NULL,NULL,NULL
Uzbekistan,UZB,860,Republic of Uzbekistan,Lower middle income,Blend,Europe & Central Asia,Uzbek sum
Vanuatu,VUT,548,Republic of Vanuatu,Lower middle income,IDA,East Asia & Pacific,Vanuatu vatu
Venezuela,VEN,862,República Bolivariana de Venezuela,Upper middle income,IBRD,Latin America & Caribbean,Venezuelan bolivar fuerte
Vietnam,VNM,704,Socialist Republic of Vietnam,Lower middle income,IBRD,East Asia & Pacific,Vietnamese dong
Wallis and Futura Isl.,WLF,876,NULL,Others,NULL,NULL,NULL
Western Sahara,ESH,732,NULL,Others,NULL,NULL,NULL
World,WLD,000,World,Others,NULL,NULL,NULL
Yemen,YEM,887,Republic of Yemen,Low income,IDA,Middle East & North Africa,Yemeni rial
Yemen Democratic,YDR,720,NULL,Others,NULL,NULL,NULL
"Yugoslavia,FR(Serbia/Montenegr",YUG,890,NULL,Others,NULL,NULL,NULL
Zambia,ZMB,894,Republic of Zambia,Lower middle income,IDA,Sub-Saharan Africa,New Zambian kwacha
Zimbabwe,ZWE,716,Republic of Zimbabwe,Lower middle income,Blend,Sub-Saharan Africa,U.S. dollar
